선거구명,정당명,이름,성별,생년월일,직업,학력,경력,특표수
 강북구갑,한나라당,정양석(鄭亮碩),남,1958/11/25(49세),정당인,서강대학교 공공정책대학원졸업 (정치학석사),이명박 대통령후보 유세부단장한나라당 강북갑 당협위원장,27429(48.22)
 강북구을,통합민주당,최규식(崔奎植),남,1953/11/17(54세),국회의원,서울대학교 철학과 졸업,(전)한국일보 편집국장(현)17대 서울 강북을 국회의원,26391(43.50)
 도봉구갑,한나라당,신지호(申志鎬),남,1963/06/23(44세),사회운동가,일본 게이오대학 정치학 박사,자유주의연대 대표삼성경제연구소 수석연구원,32613(48.05)
 도봉구을,한나라당,김선동(金善東),남,1963/10/09(44세),정당인,고려대학교대학원 정치외교학 석사,박근혜대표 비서실 부실장도봉을 당원협의회 운영위원장,37228(52.19)
 노원구갑,한나라당,현경병(玄鏡柄),남,1962/11/05(45세),한나라당 노원갑 당협위원장,서울대학교 행정대학원 졸업(정책학 전공),행정고시 합격(29회)17대 대선 한나라당 이명박후보 서울 전략기획본부장,29010(41.58)
 노원구을,한나라당,권영진(權泳臻),남,1962/12/10(45세),서울디지털대학교 행정학과 교수,고려대학교 대학원 졸업(정치학 박사),전 서울특별시 정무부시장전 한나라당 미래연대 공동대표,43150(49.93)
 노원구병,한나라당,홍정욱(洪政旭),남,1970/03/14(38세),기업인,스탠포드대학교 법과대학원 졸업,(주)헤럴드미디어 대표이사 회장(주)에이치엠엑스동아TV대표이사 회장,34554(43.10)
 은평구갑,통합민주당,이미경(李美卿),여,1950/09/20(57세),국회의원,이화여자대학교 대학원 정치외교학과 졸업 (정치학 석사),(현) 국회의원(현) 통합민주당 물가안정대책특위위원장,33598(45.83)
 은평구을,창조한국당,문국현(文國現),남,1949/01/12(59세),정당인,서울대학교 대학원 경영학과 졸업 (경영학 석사),창조한국당 대표유한킴벌리 대표이사 사장,48620(52.04)
 서대문구갑,한나라당,이성헌(李性憲),남,1958/05/30(49세),정당인,성균관대학교 신문방송학과 박사졸업(언론학 박사),(전) 제16대 국회의원(전) 한나라당 박근혜 대표 비서실장,33463(51.65)
 서대문구을,한나라당,정두언(鄭斗彦),남,1957/03/06(51세),국회의원,서울대학교 무역학과 졸업,서울특별시 정무부시장(전)이명박대통령후보 전략기획총괄팀장(전),36931(59.08)
 마포구갑,한나라당,강승규(姜升圭),남,1963/09/20(44세),정당인,서강대학교 영상대학원 광고홍보학 박사,(전)제17대 대통령직 인수위원회 부대변인(전)서울시 공보관,30203(48.05)
 마포구을,한나라당,강용석(康容碩),남,1969/12/03(38세),변호사,Harvard Law School 법학석사,(전)이명박 대통령 후보 중앙선대위 법률지원팀장(전)한나라당 마포을 당원협의회 운영위원장,36447(45.95)
 양천구갑,한나라당,원희룡(元喜龍),남,1964/02/14(44세),국회의원,서울대학교 법학과 졸업,검사변호사,49847(52.12)
 양천구을,한나라당,김용태(金容兌),남,1968/03/26(40세),정치인,서울대학교 정치학과 졸업,중앙일보 기획위원대통령직 인수위 전문위원,38092(50.47)
 강서구갑,한나라당,구상찬(具相燦),남,1957/07/07(50세),정당인,동국대학교 대학원 졸업,한나라당 박근혜대표 공보특보이명박 대통령 특사(중국),50244(49.59)
 강서구을,한나라당,김성태(金聖泰),남,1958/05/23(49세),사회복지사,한양대학교 행정대학원 졸업(행정학 석사),제17대 이명박대통령 인수위원회 상임자문위원전국소년소녀가장돕기중앙회 공동대표,45284(47.15)
 구로구갑,한나라당,이범래(李泛來),남,1959/01/26(49세),변호사,경희대학교 경영대학원 세무관리학과(석사) 졸업,한나라당 서울시당 구로갑 당협위원장법무법인 중앙 대표변호사,39804(46.49)
 구로구을,통합민주당,박영선(朴映宣),여,1960/01/22(48세),제17대 국회의원,서강대학교 언론대학원(석사) 졸업,제17대 국회의원(재정경제위원회 위원)MBC경제부장(앵커),34783(47.31)
 금천구,한나라당,안형환(安亨奐),남,1963/06/07(44세),정당인,하버드대학교 공공행정대학원 졸업(석사),KBS 보도본부 외교안보데스크하버드 케네디스쿨 연구원,37720(43.95)
 영등포구갑,한나라당,전여옥(田麗玉),여,1959/04/19(48세),국회의원,서강대학교 공공정책대학원 졸업(정치학석사),제17대 국회의원(전)한나라당 최고위원,35151(43.75)
 영등포구을,한나라당,권영세(權寧世),남,1959/02/24(49세),국회의원,하버드대학교 케네디스쿨 졸업(행정학석사),(전)한나라당 최고위원(현)한나라당 나눔봉사위원장,38537(57.57)
 동작구갑,통합민주당,전병헌(田炳憲),남,1958/03/17(50세),국회의원,고려대 정책대학원 졸업(경제학석사),제17대 국회의원전)청와대국정상황실장(국민의 정부),38014(44.87)
 동작구을,한나라당,정몽준(鄭夢準),남,1951/10/17(56세),국회의원,서울대학교 경제학과 졸업,(현) 대한축구협회 회장(현) 아산사회복지재단 이사장,47521(54.41)
 관악구갑,한나라당,김성식(金成植),남,1958/12/16(49세),정당인,서울대학교 경제학과 졸업,경기도정무부지사한나라당 제2 정책조정위원장(경제예산),48133(46.72)
 관악구을,통합민주당,김희철(金熙喆),남,1947/12/15(60세),건국대학교 행정대학원 초빙교수,건국대학교 행정대학원졸업(행정학 박사),민선 23기 구청장건국대학교 행정대학원 초빙교수,43235(46.50)
 서초구갑,한나라당,이혜훈(李惠薰),여,1964/06/15(43세),국회의원,미국 UCLA대학교 경제학박사,전 박근혜 대변인전 한나라당 원내부대표,48682(75.02)
 서초구을,한나라당,고승덕(高承德),남,1957/11/12(50세),변호사,서울대학교 법과대학 법학과 졸업(법학사),변호사이화여자대학교 겸임교수,48224(60.26)
 강남구갑,한나라당,이종구(李鍾九),남,1950/09/22(57세),국회의원,미국노스웨스턴대학교 Kellogg School 경영대학원 졸업,제17대 국회의원한나라당 사무부총장,61047(64.91)
 강남구을,한나라당,공성진(孔星鎭),남,1953/04/20(54세),국회의원,미국 클레어몬트 대학원 졸업(정치학 박사),한나라당 서울시당 위원장한양대 행정대학원 교수,57721(62.69)
 송파구갑,한나라당,박영아(朴英娥),여,1960/06/18(47세),대학교수,미국 펜실베니아대 대학원 물리학과 졸업 (4년과정 이학박사),(현)명지대학교 물리학과 교수(현)한국물리학회 부회장,39626(61.62)
 송파구을,한나라당,유일호(柳一鎬),남,1955/03/30(53세),교수,미국 펜실베니아대 대학원 졸업 (경제학과 박사 5년),(전)한국조세연구원장한국개발연구원 국제정책대학원 교수,39089(61.99)
 송파구병,통합민주당,김성순(金聖順),남,1940/09/28(67세),정당인,한양대학교 대학원 행정학과 졸업 (행정학 박사),송파구청장(관선 초대·4대민선 초대·2대)제16대 국회의원,40623(46.96)
 강동구갑,한나라당,김충환(金忠環),남,1954/03/09(54세),국회의원,서울시립대학교 대학원(행정학 박사),강동구청장 3선제17대 국회의원,49437(59.74)
 강동구을,한나라당,윤석용(尹碩鎔),남,1951/11/16(56세),정당인,중앙대학교 사회개발대학원 졸업(행정학 석사),(전)한나라당 강동구을 당협위원장(현)천호한의원 원장,41652(54.50)
 중구동구,한나라당,정의화(鄭義和),남,1948/12/18(59세),국회의원,부산대학교 의과대학 졸업,제15·16·17대 국회의원국회 재정경제위원회 위원장,32669(66.35)
 서구,무소속,유기준(兪奇濬),남,1959/08/10(48세),국회의원,뉴욕대학교 대학원 석사 졸업,(현)해양수산 전문 변호사(전)한나라당 대변인,26605(55.53)
 영도구,한나라당,김형오(金炯旿),남,1947/11/30(60세),국회의원,서울대학교 외교학과 졸업,(전) 한나라당 원내대표(전) 대통령직 인수위 부위원장,24426(43.46)
 부산진구갑,한나라당,허원제(許元齊),남,1951/09/27(56세),정치인,서울대학교 정치학과 졸업,(전)SBS이사(전) 대통령직 인수위원회 자문위원,33629(49.72)
 부산진구을,한나라당,이종혁(李鍾赫),남,1956/08/02(51세),(주)세계나무교육 대표이사,연세대학교 행정대학원 졸업(행정학석사),한나라당 박근혜 대통령후보 경선 조직지원단장한나라당 중앙위원회 정보과학분과위원회 부위원장,33360(53.93)
 동래구,무소속,이진복(李珍福),남,1957/10/18(50세),정치인,동아대학교 정책과학대학원 졸업(행정학 석사),(전) 동래구청장(민선3기)(전) 대통령 비서실 정치특보국장(94년),52092(51.15)
 남구갑,한나라당,김정훈(金正薰),남,1957/11/03(50세),국회의원,한양대학교 법과대학 법학과 졸업,(현)17대 국회의원(현)한나라당 원내 부대표,32172(66.07)
 남구을,무소속,김무성(金武星),남,1951/09/20(56세),국회의원,한양대학교 경영학과 졸업,(전)한나라당 최고위원(전)박근혜후보 조직총괄본부장 ,26255(49.70)
 북구강서구갑,한나라당,박민식(朴敏植),남,1965/11/20(42세),변호사,서울대학교 외교학과 졸업,(전)외무부 국제경제국 사무관(전)서울중앙지검 특수부 검사,30215(57.35)
 해운대구기장군갑,한나라당,서병수(徐秉洙),남,1952/01/09(56세),국회의원,미국 북일리노이 주립대학교 대학원 경제학과 졸업(경제학 박사),민선 제2대 해운대구청장16·17대 국회의원,57968(64.98)
 해운대구기장군을,한나라당,안경률(安炅律),남,1948/07/11(59세),국회의원,서울대학교 문리대 철학과 졸업,(현)한나라당부산시당위원장제16·17대 국회의원,32622(51.42)
 사하구갑,한나라당,현기환(玄伎煥),남,1959/06/10(48세),한나라당 부대변인,연세대학교 행정학과 졸업,(전)한나라당 박근혜 전대표 대외협력단 부단장(전)부산시장 정책특보,24380(44.99)
 사하구을,통합민주당,조경태(趙慶泰),남,1968/01/10(40세),국회의원,부산대학교 대학원 토목공학박사,(현)제17대 국회의원(현)통합민주당 부산광역시당 위원장,31330(44.90)
 금정구,무소속,김세연(金世淵),남,1972/07/15(35세),동일고무벨트(주) 대표이사,서울대학교 국제경제학과 졸업,대통령 취임준비위원회 자문위원금정고등학교 총동창회 회장,63806(64.77)
 북구강서구을,한나라당,허태열(許泰烈),남,1945/07/25(62세),국회의원,성균관대학교 법률학과 졸업,전)한나라당 사무총장현)17대 국회의원,41225(64.20)
 연제구,친박연대,박대해(朴大海),남,1943/10/25(64세),정당인,부산대학교 상과대학 상학과 졸업,(전)민선 초대 2대 3대 연제구청장,35369(44.66)
 수영구,무소속,유재중(柳在仲),남,1956/03/27(52세),정당인,부산대학교 대학원 법학과 박사과정 수료,(전)수영구청장(3 4기)(전)부경대학교 정치외교학과 겸임교수,36577(54.93)
 사상구,한나라당,장제원(張濟元),남,1967/04/13(40세),대학교수,중앙대학교 신문방송대학원 졸업,대통령직 인수위원회 사회교육문화분과위 상임자문위원경남정보대학 학장 직무대행,35039(45.49)
 중구남구,한나라당,배영식(裵英植),남,1949/03/15(59세),정당인,오리건대학교 대학원 인문학석사,재정경제부 기획관리실장신용보증기금 이사장,44716(48.13)
 동구갑,한나라당,주성영(朱盛英),남,1958/04/27(49세),한나라당 국회의원,고려대학교 법학과 졸업,대구고등검찰청 부장검사한나라당 원내부대표,37904(77.60)
 동구을,한나라당,유승민(劉承旼),남,1958/01/07(50세),국회의원,미 위스콘신대 경제학과 졸업 (경제학 박사),박근혜 대표최고위원 비서실장제17대 국회의원(대구 동구 을),55394(84.43)
 서구,친박연대,홍사덕(洪思德),남,1943/03/05(65세),정당인,서울대학교 외교학과 졸업,한나라당 원내총무한나라당 대통령후보경선 박근혜후보 공동선거대책위원장,52713(61.77)
 북구갑,한나라당,이명규(李明奎),남,1956/01/10(52세),제17대 국회의원,영남대학교 대학원 졸업(법학박사),민선1.2.3대 북구청장제17대 국회의원,30323(52.58)
 북구을,한나라당,서상기(徐相箕),남,1946/01/29(62세),제17대 국회의원,미국드렉셀대학교 공학박사,(현)17대 한나라당 국회의원 (현)국회 디지털포럼 회장,69604(86.30)
 수성구갑,한나라당,이한구(李漢久),남,1945/12/12(62세),국회의원,미국 캔사스주립대학교 경제학 박사(1981~1984),(현)한나라당정책위의장(현)대통령직속 국가경쟁력강화위원회 위원,66652(78.40)
 수성구을,한나라당,주호영(朱豪英),남,1960/12/10(47세),국회의원,영남대학교 대학원 법학과 졸업(법학박사),제17대 국회의원(전) 대통령당선인 대변인,46131(65.36)
 달서구갑,친박연대,박종근(朴鍾根),남,1937/02/05(71세),국회의원,미국 워싱턴주립대학원 경제학석사,제 15 16 17대 국회의원친박연대 최고위원,33624(49.80)
 달서구을,무소속,이해봉(李海鳳),남,1942/06/15(65세),국회의원,서울대학교 법과대학 졸업,대구시장국회과학기술정보통신위원회 위원장,44100(57.21)
 달서구병,친박연대,조원진(趙源震),남,1959/01/07(49세),정당인,영남대학교 행정대학원 석사,세계한인무역협회 북경회장제13 15대 황병태국회의원 보좌관,26357(49.24)
 달성군,한나라당,박근혜(朴槿惠),여,1952/02/02(56세),국회의원,서강대 전자공학과 졸업,(前)한나라당 대표최고위원15대·16대·17대 국회의원,50149(88.58)
 중구동구옹진군,한나라당,박상은(朴商銀),남,1949/09/01(58세),한국학술연구원 이사장,연세대학교 법과 대학원(법학석사) 졸업,대한제당 대표이사 사장인천광역시 정무부시장,30764(47.25)
 남구갑,한나라당,홍일표(洪日杓),남,1956/02/11(52세),법무법인 서해 대표 변호사,건국대학교 일반대학원 졸업(법학석사),판사(14년)인천광역시 정무부시장,33379(53.59)
 남구을,한나라당,윤상현(尹相現),남,1962/12/01(45세),인하대 특별연구위원,미. 조지워싱턴대 정치학 박사,전. 서울대학교 초빙교수17대 대통령취임준비위원회 상임자문위원,40670(58.06)
 연수구,한나라당,황우여(黃祐呂),남,1947/08/03(60세),국회의원,서울대학교 법학과(박사과정) 졸업,국회 교육위원회 위원장(전)한나라당 사무총장(전),49791(59.03)
 남동구갑,한나라당,이윤성(李允盛),남,1944/10/02(63세),국회의원,한국외국어대학교 졸업,국회산업자원위원회위원장제 15·16·17대 국회의원,43504(57.81)
 남동구을,한나라당,조전혁(趙全赫),남,1960/07/14(47세),인천대학교 경제학과 교수,고려대학교 경제학과 졸업,현)인천대학교 경제학과 교수전)17대 대통령직 인수위상근상임자문위원,18475(30.65)
 부평구갑,한나라당,조진형(趙鎭衡),남,1943/02/14(65세),정치인,건국대학교 경영학과 졸업,제1415대 국회의원한나라당 인천광역시당 위원장,43884(49.14)
 부평구을,한나라당,구본철(具本喆),남,1959/01/24(49세),기업인,미국 사우스플로리다대 대학원졸업 전기전자공학박사('89~'94),(주)텔넷웨어 회장(현)인하대겸임교수(현),38436(43.51)
 계양구갑,통합민주당,신학용(辛鶴用),남,1952/01/21(56세),정당인,서울대학교 정치학과 졸업,제17대 국회의원한국실업탁구연맹회장,24516(44.57)
 계양구을,통합민주당,송영길(宋永吉),남,1963/03/21(45세),제17대 국회의원,연세대학교 경영학과 졸업,변호사국회 재정경제위원 6년,23731(46.10)
 서구강화군갑,한나라당,이학재(李鶴宰),남,1964/08/19(43세),정당인,중앙대학교 대학원 졸업(경제학 박사),인천광역시 서구청장인천환경운동연합집행위원,45356(53.78)
 서구강화군을,무소속,이경재(李敬在),남,1941/12/17(66세),국회의원,서울대학교 사회학과 졸업,(전)대통령 공보수석 겸 청와대 대변인(현)17대 국회의원,21723(33.94)
 동구,통합민주당,박주선(朴柱宣),남,1949/07/23(58세),변호사,서울대학교 법학과대학원 석사과정 2년 수료,(전)청와대 대통령 법무비서관(전)제16대 국회의원,34625(88.74)
 서구갑,통합민주당,조영택(趙泳澤),남,1951/01/21(57세),정당인,한양대학교 대학원 행정학과 졸업(행정학 박사),(전)국무조정실장(전)아시아문화중심도시조성위원회 위원장,33678(79.15)
 서구을,통합민주당,김영진(金泳鎭),남,1947/11/17(60세),정당인,강진농업고등학교 졸업,(전)농림부 장관(전)국회의원(4선),34891(72.52)
 남구,무소속,강운태(姜雲太),남,1948/11/15(59세),정치인,서울대학교 외교학과 졸업,(전)광주광역시장(전)내무부장관,44357(59.43)
 북구갑,통합민주당,강기정(姜琪正),남,1964/12/03(43세),현 국회의원,전남대학교 행정대학원 졸업,(현)국회 보건복지위원회 간사(현)통합민주당 김효석원내대표 비서실장,36656(63.28)
 북구을,통합민주당,김재균(金載均),남,1952/10/17(55세),정당인,전남대학교 정치학과 대학원졸업(정치학박사),(전)민선2기3기 광주광역시 북구청장(전)대통합민주신당 광주시 공동선대위원장(17대대선),62567(79.23)
 광산구갑,통합민주당,김동철(金東喆),남,1955/06/30(52세),국회의원,서울대학교 법과대학 법학과 졸업,청와대 정무기획비서관제17대 국회의원,28759(50.39)
 광산구을,통합민주당,이용섭(李庸燮),남,1951/08/11(56세),정당인,성균관대학교 대학원 경제학과 졸업(박사),건설교통부 장관행정자치부 장관,26540(73.16)
 동구,자유선진당,임영호(林榮鎬),남,1955/05/15(52세),정당인,한남대학교 일반대학원 졸업(행정학박사),제25회 행정고시 합격(전) 관선·민선(2기·3기) 동구청장 역임 ,41889(49.80)
 중구,자유선진당,권선택(權善宅),남,1955/12/01(52세),국회의원,대전대학교 대학원 행정학과 졸업(행정학박사),(전)대전광역시 행정.정무부시장(현)자유선진당 정책위의장,45148(47.87)
 서구갑,통합민주당,박병석(朴炳錫),남,1952/01/25(56세),국회의원,한양대학교 대학원 신문방송학과 박사과정수료,(현)국회정무위원장(전)서울특별시 정무부시장,32626(41.29)
 서구을,자유선진당,이재선(李在善),남,1956/12/19(51세),대전광역시 생활체육협의회장,한남대학교 대학원 졸업(경영학 박사),(전)15·16대 국회의원(현)대전광역시 생활체육협의회장,35156(41.37)
 유성구,자유선진당,이상민(李相珉),남,1958/01/22(50세),제17대 국회의원,충남대학교 법학과 졸업,(현)변호사제17대 국회의원(유성구선거구),34010(41.30)
 대덕구,자유선진당,김창수(金昌洙),남,1955/02/13(53세),정당인,서울대학교 정치학과 졸업,대전시 대덕구청장 역임(제8대)(현)자유선진당 홍보위원장,24079(33.93)
 중구,한나라당,정갑윤(鄭甲潤),남,1950/11/08(57세),국회의원,울산대학교 산업대학원졸업(산업관리공학석사),(전)제16대 국회의원(현)제17대 국회의원,48483(64.85)
 남구갑,한나라당,최병국(崔炳國),남,1942/01/27(66세),국회의원,서울대학교 법과대학 법학과 졸업,제17대 국회의원국회 법제사법위원장,35754(60.84)
 남구을,한나라당,김기현(金起炫),남,1959/02/21(49세),정치인,서울대학교 법학과 졸업,(현)(사)울산종합자원봉사센터 이사장(현)17대 국회의원,30077(62.00)
 동구,한나라당,안효대(安孝大),남,1955/07/27(52세),정당인,계명대학교 경영학과 졸업, 현대중공업 근무정몽준 국회의원 사무국 사무국장,32872(51.40)
 북구,한나라당,윤두환(尹斗煥),남,1955/03/05(53세),국회의원,중앙대학교 행정대학원 졸업(행정학 석사),제16대 국회의원한나라당울산광역시당 위원장,24135(46.24)
 울주군,무소속,강길부(姜吉夫),남,1942/06/05(65세),국회의원,서울대학교 환경대학원 졸업(도시계획학 석사),(현)제17대 국회의원(전)건설교통부 차관,33227(48.17)
 수원시장안구,한나라당,박종희(朴鍾熙),남,1960/05/06(47세),정당인,아주대학교 공공정책대학원 행정학과 졸업,(전) 동아일보 기자(전) 제16대 국회의원,52819(58.85)
 수원시권선구,한나라당,정미경(鄭美京),여,1965/09/17(42세),변호사,고려대학교 법학과 졸업,(전)수원지방검찰청 검사(현)변호사,37649(41.24)
 수원시팔달구,한나라당,남경필(南景弼),남,1965/01/20(43세),정당인(국회의원),(미) 예일대  경영대학원 졸업(경영학 석사 2년),(전) 한나라당 대변인(현) 한나라당 경기도당위원장,41025(64.08)
 수원시영통구,통합민주당,김진표(金振杓),남,1947/05/04(60세),국회의원,서울대학교 법학과 졸업,(전)경제부총리(전)교육부총리,40781(49.83)
 성남시수정구,한나라당,신영수(申榮洙),남,1951/12/24(56세),(사)정을심는복지회 이사장,서울대학교 법과대학 행정학과 졸업,(전)성남시 재개발 및 서울공항 범시민대책위원회 상임위원(전)현대건설종합기획실·개발사업부·건축사업본부 임원,29962(38.71)
 성남시중원구,한나라당,신상진(申相珍),남,1956/06/28(51세),現 국회의원(성남시중원구),서울대학교 의학과 졸업,전)대한의사협회 회장전)성남시 고도제한해제를 위한 범시민대책위 상임대표,34546(42.96)
 성남시분당구갑,한나라당,고흥길(高興吉),남,1944/08/13(63세),국회의원,서울대학교 정치학과 졸업,제16·17대 국회의원(전)중앙일보 편집국장,46396(64.73)
 성남시분당구을,한나라당,임태희(任太熙),남,1956/12/01(51세),국회의원,서울대학교 경영학과 졸업,前대통령당선인비서실장제16·17대 국회의원,52704(71.06)
 의정부시갑,통합민주당,문희상(文喜相),남,1945/03/03(63세),국회의원,서울대학교 법학과 졸업,14 16 17대 국회의원전 대통령 비서실장,32211(47.50)
 의정부시을,통합민주당,강성종(康聖鐘),남,1966/07/18(41세),국회의원,브리지포트대학교 졸업,제17대 국회의원학교법인 신흥학원 이사장,34038(48.85)
 안양시만안구,통합민주당,이종걸(李鍾杰),남,1957/05/22(50세),변호사,서울대학교 법과대학 공법학과 졸업,제16대.17대 국회의원(현)대한농구협회 회장 겸 아시아 농구연맹 부회장,41660(44.65)
 안양시동안구갑,통합민주당,이석현(李錫玄),남,1951/03/16(57세),국회의원,서울대학교 법과대학 법학과 졸업,(전)제14대 15대 국회의원 (현)제17대 국회의원,30852(47.87)
 안양시동안구을,한나라당,심재철(沈在哲),남,1958/01/18(50세),국회의원,서울대학교 사범대학 영어교육과 졸업,(전)서울대학교 총학생회장(현)한나라당 원내수석부대표,39453(61.23)
 부천시원미구갑,한나라당,임해규(林亥圭),남,1960/03/07(48세),국회의원,서울대학교대학원 교육학 박사과정 수료,(현) 제17대 국회의원 (한나라당 부천원미갑)(현) 한나라당 제18대 총선 공천심사위원,26761(51.76)
 부천시원미구을,한나라당,이사철(李思哲),남,1952/09/15(55세),법무법인 신세기 대표변호사,서울대학교 법과대학 법학과 졸업,(전) 제15대 국회의원 (한나라당 대변인)(현) 한나라당 중앙당 법률지원단장,43102(48.97)
 부천시소사구,한나라당,차명진(車明進),남,1959/08/14(48세),국회의원,서울대학교 대학원 졸업(정치학석사),(현)국회 정무위원(현)한나라당 원내부대표,37971(50.45)
 부천시오정구,통합민주당,원혜영(元惠榮),남,1951/09/27(56세),국회의원,서울대학교 사범대학 역사교육과 졸업,(주)풀무원식품 창업·경영민선 2·3대 부천시장,32861(56.01)
 광명시갑,통합민주당,백재현(白在鉉),남,1951/07/04(56세),세무사 사무소 대표,경기대학교 무역학과 졸업,경기도의회의원민선2기·3기 광명시장,29385(50.91)
 광명시을,한나라당,전재희(全在姬),여,1949/09/06(58세),국회의원,영남대학교 행정학과 졸업,현 한나라당 최고위원제16·17대 국회의원,29218(56.36)
 평택시갑,한나라당,원유철(元裕哲),남,1962/09/26(45세),정당인,고려대학교 정치외교학과 졸업,제1516대 국회의원경기도 정무부지사,32051(50.77)
 평택시을,통합민주당,정장선(鄭長善),남,1958/03/16(50세),국회의원,연세대학교 행정대학원 도시행정학 석사,제16.17대 국회의원(현)국회건설교통위원회 간사,34619(48.15)
 양주시동두천시,한나라당,김성수(金性洙),남,1953/05/20(54세),정당인,고려대학교 사범대학 교육학과 졸업,제3대 경기도의회의원(전)양주동두천 당원협의회 위원장,43462(49.90)
 안산시상록구갑,한나라당,이화수(李和洙),남,1953/01/05(55세),한국노총 경기지역본부 의장,한경대학교 행정학과 4학년 재학,(전)이명박 대통령 취임준비위원회 자문위원(현)경기도 외국인 투자유치자문단,23104(38.50)
 안산시상록구을,친박연대,홍장표(洪章杓),남,1959/08/19(48세),정당인,한양대학교 도시대학원 재학(박사과정) ,(전)박근혜 특별보좌역(전)안산시의회 123대 시의원,14980(32.21)
 안산시단원구갑,통합민주당,천정배(千正培),남,1954/12/12(53세),국회의원,서울대학교 대학원졸업 (법학석사),제15·16·17대 국회의원제57대 법무부장관,23044(49.12)
 안산시단원구을,한나라당,박순자(朴順子),여,1958/10/12(49세),국회의원,고려대학교 경제학과 졸업,현)한나라당 중앙여성위원장현)제17대 국회의원,24482(52.18)
 고양시덕양구갑,한나라당,손범규(孫範奎),남,1966/12/19(41세),변호사,연세대학교 법과대학 법학과 졸업,전)한나라당 덕양갑 당원협의회 운영위원장전) 한나라당 대통령후보 이명박 고양시 덕양갑 선대위원장,28921(43.50)
 고양시덕양구을,한나라당,김태원(金兌原),남,1951/03/19(57세),정당인,연세대학교 행정대학원 졸업 (일반행정전공 행정학 석사),전)한나라당 고양시 덕양을당협위원장전)국회정책연구위원,30003(49.04)
 고양시일산동구,한나라당,백성운(白成雲),남,1949/06/16(58세),정치인,고려대학교 대학원 (행정학 박사),(전) 경기도 고양군수(전) 제17대 대통령직인수위원회 인수위원겸 행정실장,40697(47.07)
 고양시일산서구,한나라당,김영선(金映宣),여,1960/05/16(47세),국회의원,서울대학교 법과대학 공법학과 졸업,(전)한나라당 대표최고위원151617대 국회의원,51595(53.71)
 의왕시과천시,한나라당,안상수(安商守),남,1946/02/09(62세),국회의원,서울대학교 법학과 졸업,(현)한나라당 원내대표(전)국회 법제사법위원장,42580(60.40)
 구리시,한나라당,주광덕(朱光德),남,1960/07/26(47세),변호사,고려대학교 법학과 졸업,(전)서울 동부지검 검사(현)한나라당 중앙위원,32878(48.71)
 남양주시갑,통합민주당,최재성(崔宰誠),남,1965/09/09(42세),17대 남양주(갑) 국회의원,동국대학교 대학원 행정학과 박사과정 2학기 재학,(현)통합민주당 원내대변인(현)동국대학교 교육대학원 겸임교수,38468(45.16)
