타입,지역구이름,비례순번,정당명,사진,이름(한자),성별,생년월일(연령),주소,직업,학력,경력,
지역구,강북구갑,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1109/Hb100135984/gicho/thumbnail.100135984.JPG,천준호(千俊鎬),남,1971.02.15(49세),서울특별시 강북구 삼각산로,정당인,경희대학교 행정대학원 자치행정학과 졸업(행정학석사),(현)더불어민주당 강북갑 지역위원장(전)박원순 서울시장 비서실장,"49,490(57.75)"
지역구,강북구을,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1109/Hb100136273/gicho/thumbnail.100136273.JPG,박용진(朴用鎭),남,1971.04.17(48세),서울특별시 강북구 솔샘로,국회의원,성균관대학교 사회학과 졸업,(현)제20대 국회의원(전)민주당 대변인,"57,013(64.45)"
지역구,도봉구갑,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1110/Hb100137172/gicho/thumbnail.100137172.JPG,인재근(印在謹),여,1953.11.11(66세),서울특별시 도봉구 해등로3길,국회의원,이화여자대학교 사회학과 졸업,(현)도봉구갑 국회의원(현)김근태재단 이사장,"50,653(54.02)"
지역구,도봉구을,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1110/Hb100135075/gicho/thumbnail.100135075.JPG,오기형(吳奇炯),남,1966.11.25(53세),서울특별시 도봉구 도봉로150길,정당인,서울대학교 법과대학 공법학과 졸업,(현)더불어민주당 일본경제침략대책특별위원회 위원(현)더불어민주당 서울 도봉을 지역위원회 위원장,"51,756(53.01)"
지역구,노원구갑,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1111/Hb100136437/gicho/thumbnail.100136437.JPG,고용진(高榕禛),남,1964.08.06(55세),서울특별시 노원구 노원로,국회의원,서울대학교 언론정보학과 대학원 졸업(문학석사),(전) 노무현대통령 비서실 행정관(현) 노원갑 국회의원,"53,911(56.78)"
지역구,노원구을,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1111/Hb100136941/gicho/thumbnail.100136941.JPG,우원식(禹元植),남,1957.09.18(62세),서울특별시 노원구 공릉로70길,국회의원,연세대학교 공학대학원 환경공학전공 졸업 (공학석사),(전) 더불어민주당 원내대표(현) (사)홍범도장군기념사업회 이사장,"71,708(62.67)"
지역구,노원구병,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1111/Hb100137043/gicho/thumbnail.100137043.JPG,김성환(金星煥),남,1965.10.15(54세),서울특별시 노원구 노원로,국회의원,연세대학교 행정대학원 도시및지방행정전공 졸업(행정학 석사),"(현)20대 국회의원(전)민선5기,6기 노원구청장","55,556(53.15)"
지역구,은평구갑,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1112/Hb100137581/gicho/thumbnail.100137581.JPG,박주민(朴柱民),남,1973.11.21(46세),서울특별시 은평구 통일로,국회의원,서울대학교 법과대학 사법학과 졸업,(현)더불어민주당 최고위원(현)은평갑 국회의원,"86,351(64.29)"
지역구,은평구을,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1112/Hb100136909/gicho/thumbnail.100136909.JPG,강병원(姜炳遠),남,1971.07.09(48세),서울특별시 은평구 연서로,더불어민주당 서울은평구을 국회의원,서울대학교 농업생명과학대학 농경제학과 졸업(경제학사),(현)더불어민주당 서울은평구을 국회의원(전)서울대학교 총학생회장,"78,897(57.41)"
지역구,서대문구갑,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1113/Hb100137164/gicho/thumbnail.100137164.JPG,우상호(禹相虎),남,1962.12.12(57세),서울특별시 서대문구 통일로26길,국회의원,연세대학교 행정대학원 졸업(행정학 석사),(전)더불어민주당 원내대표(현)20대 국회의원,"47,980(53.24)"
지역구,서대문구을,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1113/Hb100136738/gicho/thumbnail.100136738.JPG,김영호(金映豪),남,1967.09.13(52세),서울특별시 서대문구 가재울미래로,국회의원,"북경대학교 국제학과 졸업(국제학 학사, 1993.09.~1997.07.)",(현)더불어민주당 서대문구을 국회의원(현)더불어민주당 원내부대표,"58,328(61.33)"
지역구,마포구갑,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1114/Hb100137015/gicho/thumbnail.100137015.JPG,노웅래(盧雄來),남,1957.08.03(62세),서울특별시 마포구 삼개로,국회의원,동국대학교 언론정보대학원 졸업 (언론학석사),(현) 제20대 국회의원(현) 국회 과학기술정보방송통신위원회 위원장,"53,160(56.00)"
지역구,마포구을,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1114/Hb100134834/gicho/thumbnail.100134834.JPG,정청래(鄭淸來),남,1965.04.18(54세),서울특별시 마포구 월드컵북로30길,정당인,서강대학교 공공정책대학원 북한통일정책학과 졸업(정치학석사),(전)제17대·19대 국회의원(마포구을선거구)(전)더불어민주당 최고위원,"69,336(53.75)"
지역구,양천구갑,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1115/Hb100136878/gicho/thumbnail.100136878.JPG,황희(黃熙),남,1967.07.28(52세),서울특별시 양천구 목동서로,국회의원 (국회 국토교통위원),연세대학교 대학원 도시공학과 공학박사,(전)노무현 대통령비서실 청와대 행정관(현)대통령직속4차위 스마트시티특위 위원,"78,196(51.85)"
지역구,양천구을,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1115/Hb100134903/gicho/thumbnail.100134903.JPG,이용선(李庸瑄),남,1958.02.12(62세),서울특별시 양천구 신정로13길,정당인,서울대학교 공과대학 토목공학과 졸업,(전)문재인정부 청와대 시민사회수석(전)민주통합당 공동대표,"66,759(57.54)"
지역구,강서구갑,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1116/Hb100137226/gicho/thumbnail.100137226.JPG,강선우(姜仙祐),여,1978.06.02(41세),서울특별시 강서구 곰달래로,정당인,"미국 위스콘신 주립대 졸업 (인간발달 및 가족학박사, 2006.9 ~ 2012.5)",(전)미국 사우스다코타주립대 교수(전)더불어민주당 상근부대변인,"63,397(55.89)"
지역구,강서구을,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1116/Hb100134996/gicho/thumbnail.100134996.JPG,진성준(陳聲準),남,1967.04.19(52세),서울특별시 강서구 공항대로39길,정당인,전북대학교 법학과 졸업,(전)서울특별시 정무부시장(전)제19대 국회의원,"66,684(56.15)"
지역구,강서구병,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1116/Hb100137251/gicho/thumbnail.100137251.JPG,한정애(韓貞愛),여,1965.01.08(55세),서울특별시 강서구 공항대로,국회의원,영국 노팅엄대학교 산업공학 박사(1999.9.~2003.4.),(현)강서구병 국회의원(전)더불어민주당 정책위원회 수석부의장,"64,515(59.92)"
지역구,구로구갑,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1117/Hb100137445/gicho/thumbnail.100137445.JPG,이인영(李仁榮),남,1964.06.28(55세),서울특별시 구로구 고척로,국회의원,고려대학교 언론대학원 석사과정 정보통신학과 졸업 (정보통신전공),"(현)더불어민주당 원내대표(전)국회의원(17대, 19대)","75,865(53.92)"
지역구,구로구을,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1117/Hb100136636/gicho/thumbnail.100136636.JPG,윤건영(尹健永),남,1969.09.26(50세),서울특별시 구로구 경인로,정당인,국민대학교 대학원 무역학과 국제경제전공 (경제학 석사),(전)문재인정부 대통령비서실 국정기획상황실장(전)노무현정부 대통령비서실 정무기획비서관,"56,065(57.04)"
지역구,금천구,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1118/Hb100137556/gicho/thumbnail.100137556.JPG,최기상(崔基相),남,1969.10.07(50세),서울특별시 금천구 독산로10길,정당인,서울대학교 경영학과 졸업,(현)더불어민주당 정책위원회 부의장(전)서울중앙지방법원 부장판사,"64,735(49.63)"
지역구,영등포구갑,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1119/Hb100137236/gicho/thumbnail.100137236.JPG,김영주(金榮珠),여,1955.07.27(64세),서울특별시 영등포구 문래로,국회의원,서강대학교 경제대학원 졸업(경제학석사),(현)국회의원(전)고용노동부 장관,"72,445(56.26)"
지역구,영등포구을,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1119/Hb100135281/gicho/thumbnail.100135281.JPG,김민석(金民錫),남,1964.05.29(55세),서울특별시 영등포구 63로,정당인,하버드대학교 케네디스쿨 행정학 석사(1994.09~1995.05),(전)제19대 문재인 대통령후보 종합상황본부장(전)제15·16대 국회의원,"47,075(50.26)"
지역구,동작구갑,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1120/Hb100136968/gicho/thumbnail.100136968.JPG,김병기(金炳基),남,1961.07.10(58세),서울특별시 동작구 알마타길,(현)동작구갑 국회의원,경희대학교 국민윤리학과 졸업,(전)국가정보원 25년근무(전)문재인대통령 국정기획자문위원회 위원,"70,290(55.29)"
지역구,동작구을,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1120/Hb100137485/gicho/thumbnail.100137485.JPEG,이수진(李秀眞),여,1969.11.03(50세),서울특별시 동작구 사당로17길,정당인,서울대학교 경제학과 졸업,(전)수원지방법원 부장판사(전)대법원 재판연구관,"61,407(52.16)"
지역구,관악구갑,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1121/Hb100135027/gicho/thumbnail.100135027.JPG,유기홍(柳基洪),남,1958.06.11(61세),서울특별시 관악구 성현로,정당인,서울대학교 국사학과 졸업,"(전)제17, 19대 국회의원(현)더불어민주당 교육특별위원회 위원장","83,479(55.92)"
지역구,관악구을,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1121/Hb100134875/gicho/thumbnail.100134875.JPG,정태호(鄭泰浩),남,1963.03.20(57세),서울특별시 관악구 난곡로,정당인,서울대학교 사회복지학과 졸업,(전)문재인대통령 비서실 일자리수석(전)노무현대통령 비서실 대변인,"72,531(53.90)"
지역구,서초구갑,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg1122/Hb100137518/gicho/thumbnail.100137518.JPG,윤희숙(尹喜淑),여,1970.02.07(50세),서울특별시 서초구 방배로25길,KDI 국제정책대학원 교수,콜럼비아대학교 경제학박사(1996.9.~2003.5.),(전)대통령직속 국민경제자문회의 자문위원(전)KDI 재정·복지정책연구부장,"72,896(62.60)"
지역구,서초구을,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg1122/Hb100136886/gicho/thumbnail.100136886.JPG,박성중(朴成重),남,1958.08.01(61세),서울특별시 서초구 방배로1길,국회의원,"성균관대학교 대학원 졸업(도시행정전공, 행정학박사)",(현)미래통합당 서초구을 국회의원(전)서초구청장,"74,445(53.66)"
지역구,강남구갑,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg1123/Hb100137336/gicho/thumbnail.100137336.JPG,태구민(太救民),남,1964.06.24(55세),서울특별시 강남구 논현로163길,외교정책 전문가,평양 국제관계대학 국제관계과 졸업(1980.4.~1984.8.),(전)영국주재 북한 대사관 공사(전)대한민국 국가안보전략연구원 자문연구위원,"60,324(58.40)"
지역구,강남구을,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg1123/Hb100137703/gicho/thumbnail.100137703.JPG,박진(朴振),남,1956.09.16(63세),서울특별시 강남구 자곡로,석좌교수,"영국 옥스퍼드 대학교 졸업(정치학박사,1985.10.~1994.3.)",(전)국회외교통상통일위원장(전)청와대 공보ㆍ정무 비서관,"51,762(50.94)"
지역구,강남구병,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg1123/Hb100137718/gicho/thumbnail.100137718.JPG,유경준(兪京濬),남,1961.06.17(58세),서울특별시 강남구 삼성로63길,대학교수,미국 코넬대학교 노동경제학과(경제학박사)(1991.8~1995.8),(전)KDI 수석이코노미스트(전)15대 통계청장,"70,917(65.38)"
지역구,송파구갑,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg1124/Hb100137272/gicho/thumbnail.100137272.JPG,김웅(金雄),남,1970.05.05(49세),서울특별시 송파구 올림픽로,정당인,서울대학교 사회과학대학 정치학과 졸업,(전)법무연수원 교수(전)부장검사,"58,318(51.20)"
지역구,송파구을,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg1124/Hb100134639/gicho/thumbnail.100134639.JPG,배현진(裵賢鎭),여,1983.11.06(36세),서울특별시 송파구 올림픽로,정당인,북한대학원대학교 북한학과 석사 수료,(전) MBC 뉴스데스크 앵커(현) 미래통합당 중앙선거대책위원회 대변인,"72,072(50.46)"
지역구,송파구병,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1124/Hb100136643/gicho/thumbnail.100136643.JPG,남인순(南仁順),여,1958.11.05(61세),서울특별시 송파구 위례광장로,국회의원,성공회대학교 시민사회복지대학원 사회복지학과 졸업(사회복지학석사),(현)송파병 국회의원(현)더불어민주당 최고위원,"78,789(52.49)"
지역구,강동구갑,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1125/Hb100136736/gicho/thumbnail.100136736.JPG,진선미(陳善美),여,1967.05.14(52세),서울특별시 강동구 양재대로,국회의원,성균관대학교 법학과 졸업,(전)여성가족부 장관(현)제20대 국회의원,"80,361(51.50)"
지역구,강동구을,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg1125/Hb100135074/gicho/thumbnail.100135074.JPG,이해식(李海植),남,1963.11.13(56세),서울특별시 강동구 명일로,정당인,서울시립대학교 일반대학원 도시행정학과 박사과정 수료,(전) 서울특별시 강동구청장(현) 더불어민주당 대변인,"59,175(54.54)"
지역구,중구영도구,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2604/Hb100137440/gicho/thumbnail.100137440.JPG,황보승희(皇甫承希),여,1976.08.05(43세),부산광역시 영도구 해안산책길,정당인,이화여자대학교 영어영문학과 졸업,(전)부산광역시의회의원(6/7대)(전)부산광역시의회 경제문화위원장,"47,436(51.86)"
지역구,서구동구,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2602/Hb100134585/gicho/thumbnail.100134585.JPG,안병길(安炳吉),남,1962.02.02(58세),부산광역시 동구 홍곡로,안병길 원도심미래연구원 원장,동아대학교 대학원 졸업(행정학 박사),(전)부산일보 대표이사 사장(전)한국지방신문협회 회장,"63,855(56.04)"
지역구,부산진구갑,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2605/Hb100137546/gicho/thumbnail.100137546.JPG,서병수(徐秉洙),남,1952.01.09(68세),부산광역시 부산진구 동평로150번길,정당인,노던일리노이대학교 박사과정 졸업(1983.9.~1987.12. 경제학박사),(전) 부산광역시장(전) 4선 국회의원,"52,037(48.51)"
지역구,부산진구을,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2605/Hb100136537/gicho/thumbnail.100136537.JPG,이헌승(李憲昇),남,1963.05.11(56세),부산광역시 부산진구 백양대로208번길,부산진구을 국회의원,고려대학교 사회학과 졸업,"(현) 제19대, 20대 국회의원(전) 자유한국당 황교안 당대표 비서실장","55,754(55.03)"
지역구,동래구,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2606/Hb100137435/gicho/thumbnail.100137435.JPG,김희곤(金熙坤),남,1964.12.17(55세),부산광역시 동래구 충렬대로107번길,정당인,연세대학교 행정대학원 졸업(행정학 석사),(전)해양수산부 장관 정책보좌관(전)청와대 기획조정실 근무,"81,722(51.85)"
지역구,남구갑,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2607/Hb100134853/gicho/thumbnail.100134853.JPG,박수영(朴洙瑩),남,1964.01.07(56세),부산광역시 남구 수영로,한반도선진화재단 대표,하버드대학교 졸업(공공정책학 석사)(1994.09.~1996.06.),(전)경기도 행정1부지사(현)한반도선진화재단 대표,"43,805(53.57)"
지역구,남구을,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg2607/Hb100135331/gicho/thumbnail.100135331.JPG,박재호(朴在昊),남,1959.02.13(61세),부산광역시 남구 분포로,제20대 국회의원,중앙대학교 행정대학원 졸업(행정학석사),(현)제20대 국회의원(전)노무현대통령 비서실 정무2비서관,"41,005(50.50)"
지역구,북구강서구갑,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg2608/Hb100134887/gicho/thumbnail.100134887.JPG,전재수(田載秀),남,1971.04.20(48세),부산광역시 북구 백양대로1016번길,국회의원,동국대학교 대학원 정치학과 졸업,(전)청와대 제2부속실장(현)제20대 국회의원,"48,733(50.58)"
지역구,북구강서구을,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2613/Hb100137828/gicho/thumbnail.100137828.JPG,김도읍(金度邑),남,1964.07.06(55세),부산광역시 북구 화명신도시로,국회의원,동아대학교 법학과 졸업,(현)국회의원(전)부산지검 공판부장 외사부장 검사,"76,054(52.03)"
지역구,해운대구갑,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2609/Hb100137132/gicho/thumbnail.100137132.JPG,하태경(河泰慶),남,1968.06.19(51세),부산광역시 해운대구 대천로103번길,국회의원,중국 길림대학 경제학박사(세계경제 전공)(2000.9.~2004.6.),(전)새로운보수당 책임대표(현)제20대 국회의원,"78,971(59.47)"
지역구,해운대구을,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2609/Hb100134694/gicho/thumbnail.100134694.JPG,김미애(金美愛),여,1969.10.06(50세),부산광역시 해운대구 선수촌로,변호사,동아대학교 법학부 졸업,(전)부산지방변호사회 수석부회장(현)해운대구청 공직자윤리위원회 위원장,"53,900(52.87)"
지역구,사하구갑,해당없음,더불어민주당,http://info.nec.go.kr/photo_20200415/Gsg2611/Hb100135316/gicho/thumbnail.100135316.JPG,최인호(崔仁昊),남,1966.10.15(53세),부산광역시 사하구 하신번영로,국회의원,부산대학교 대학원 정치외교학과 정치외교학전공 박사과정 수료,(현)제20대 국회의원(전)대통령 비서실 국내언론비서관,"39,875(50.00)"
지역구,사하구을,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2611/Hb100137065/gicho/thumbnail.100137065.JPG,조경태(趙慶泰),남,1968.01.10(52세),부산광역시 사하구 다대로,국회의원,부산대학교 대학원졸업(공학박사),(현)제20대 국회의원(현)미래통합당 최고위원,"59,042(58.79)"
지역구,금정구,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2612/Hb100135873/gicho/thumbnail.100135873.JPG,백종헌(白宗憲),남,1962.12.23(57세),부산광역시 금정구 수림로,(주)백산금속 대표이사,부산대학교 환경대학원 도시계획학과 졸업,(전)부산광역시의회 제7대의장(전)자유한국당 금정구 당협위원장,"77,048(54.19)"
지역구,연제구,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2614/Hb100134629/gicho/thumbnail.100134629.GIF,이주환(李周桓),남,1967.08.20(52세),부산광역시 연제구 종합운동장로12번길,서호도시개발 대표이사,한국해양대학교 대학원 박사과정 수료,(현)미래통합당 연제구 조직위원장(현)미래통합당 부산시당 수석대변인,"64,640(50.95)"
지역구,수영구,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2615/Hb100137475/gicho/thumbnail.100137475.JPG,전봉민(田奉珉),남,1972.10.21(47세),부산광역시 수영구 연수로315번길,기업인,동의대학교 대학원 건축공학과 박사과정 수료,(전) 부산시의회 부의장(현) 미래통합당 부산 수영구 조직위원장,"57,959(55.93)"
지역구,사상구,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2616/Hb100137461/gicho/thumbnail.100137461.JPG,장제원(張済元),남,1967.04.13(53세),부산광역시 사상구 백양대로342번길,국회의원,중앙대학교 신문방송대학원 졸업(언론학석사),(현) 제20대 사상구 국회의원(전) 국회 예산결산특별위원회 간사,"66,353(52.03)"
지역구,기장군,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2610/Hb100135686/gicho/thumbnail.100135686.JPG,정동만(鄭東萬),남,1965.07.18(54세),부산광역시 기장군 기장읍 차성동로116번길,정당인,부산대학교 경영대학원 졸업(경영학석사),(전)제6대 기장군의회의원(전)제7대 부산광역시의회의원,"42,634(49.63)"
지역구,중구남구,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2704/Hb100137777/gicho/thumbnail.100137777.JPG,곽상도(郭尙道),남,1959.12.23(60세),대구광역시 남구 장전2길,국회의원,성균관대학교 법학과 법학석사 (공법전공),(전) 대통령비서실 민정수석실 민정수석비서관(현) 제20대 국회의원 (대구 중구남구/미래통합당),"86,470(67.49)"
지역구,동구갑,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2702/Hb100135951/gicho/thumbnail.100135951.JPG,류성걸(柳性杰),남,1957.07.12(62세),대구광역시 동구 송라로10길,정당인,미국 시라큐즈대학교 대학원 경제학 박사과정 졸업(경제학박사)(1987.9-1991.12),(전)제19대 국회의원(전)기획재정부 제2차관,"56,444(69.59)"
지역구,동구을,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2702/Hb100137103/gicho/thumbnail.100137103.JPG,강대식(姜大植),남,1959.11.02(60세),대구광역시 동구 금강로16길,정당인,영남대학교 대학원 경영학과 졸업(경영학박사),(전)동구청장(전)6대 동구의회(후반기)의장,"66,461(60.33)"
지역구,서구,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2703/Hb100136735/gicho/thumbnail.100136735.JPG,김상훈(金相勳),남,1963.01.25(57세),대구광역시 서구 통학로,국회의원,"미국 오리건대학교 행정대학원 졸업(행정학석사, 2004.08.~2006.06.)",(현)제20대 국회의원(대구 서구/미래통합당)(현)미래통합당 정책위원회 부의장,"66,574(67.43)"
지역구,북구갑,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2705/Hb100136490/gicho/thumbnail.100136490.JPG,양금희(梁琴喜),여,1961.11.15(58세),대구광역시 북구 동북로,정당인,경북대학교 공과대학 전자공학과 졸업,(전)한국여성유권자연맹 중앙회장(전)대검찰청 수사심의위원회 위원,"52,916(49.82)"
지역구,북구을,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2705/Hb100134733/gicho/thumbnail.100134733.JPG,김승수(金承洙),남,1965.07.05(54세),대구광역시 북구 동천로,정당인,North Carolina State University  행정학 석사 졸업(2002년 가을학기~2004년 봄학기),(전)대구광역시  행정부시장(전)대통령실 기획관리실 선임행정관,"84,378(61.68)"
지역구,수성구갑,해당없음,미래통합당,http://info.nec.go.kr/photo_20200415/Gsg2706/Hb100137499/gicho/thumbnail.100137499.JPG,주호영(朱豪英),남,1960.12.10(59세),대구광역시 수성구 동원로,국회의원,영남대학교 대학원 법학과 졸업(법학박사),(현)제20대 국회의원(4선)(전)초대 특임장관,"92,018(59.81)"
